column,dtype,missing_count,missing_pct,unique_values
unique_key,int64,0,0.0,50000
created_date,datetime64[ns],0,0.0,42174
closed_date,datetime64[ns],15685,31.37,28729
agency,object,0,0.0,15
agency_name,object,0,0.0,15
complaint_type,object,0,0.0,149
descriptor,object,0,0.0,608
descriptor_2,object,0,0.0,497
location_type,object,0,0.0,87
incident_zip,float64,651,1.3,208
incident_address,object,0,0.0,27598
street_name,object,0,0.0,4868
cross_street_1,object,0,0.0,5382
cross_street_2,object,0,0.0,5333
intersection_street_1,object,0,0.0,4028
intersection_street_2,object,0,0.0,4069
address_type,object,0,0.0,6
city,object,0,0.0,50
landmark,object,0,0.0,3676
facility_type,object,0,0.0,2
status,object,0,0.0,6
due_date,object,0,0.0,151
resolution_description,object,0,0.0,293
resolution_action_updated_date,datetime64[ns],7048,14.1,28426
community_board,object,0,0.0,77
council_district,float64,2953,5.91,52
police_precinct,object,0,0.0,78
bbl,float64,8275,16.55,23301
borough,object,0,0.0,6
x_coordinate_state_plane,float64,2647,5.29,23542
y_coordinate_state_plane,float64,2637,5.27,25170
open_data_channel_type,object,0,0.0,4
park_facility_name,object,0,0.0,8
park_borough,object,0,0.0,6
vehicle_type,object,0,0.0,8
taxi_company_borough,object,0,0.0,5
taxi_pick_up_location,object,0,0.0,385
bridge_highway_name,object,0,0.0,47
bridge_highway_direction,object,0,0.0,61
road_ramp,object,0,0.0,16
bridge_highway_segment,object,0,0.0,196
latitude,float64,2648,5.3,28707
longitude,float64,2648,5.3,28707
location,object,0,0.0,28707
